timestamp_ms_relative,transaction,time_ms
116654,newOrder,217.66
118573,newOrder,137.70
118859,payment,107.21
118862,payment,108.48
120489,newOrder,72.27
120980,payment,35
121121,delivery,174.73
121121,delivery,176.70
121145,delivery,135.14
122476,newOrder,61.20
123220,orderStatus,30.71
123234,orderStatus,34.66
123242,orderStatus,37.67
123265,payment,27
123316,delivery,32.43
124492,newOrder,75.54
125366,payment,40
125392,orderStatus,65.59
125395,stockLevel,88.02
125402,stockLevel,78.52
125432,stockLevel,109.37
125487,delivery,91.68
126472,newOrder,46.20
127496,orderStatus,21.76
127503,payment,29
127511,stockLevel,44.20
127550,delivery,23.48
128454,newOrder,41.37
130508,orderStatus,33.12
130523,payment,48
130548,stockLevel,75.44
130617,newOrder,128.44
130666,delivery,118.15
132500,newOrder,56.82
132626,orderStatus,30.80
132632,payment,36
132648,payment,51
132692,stockLevel,98.14
132800,delivery,121.30
132817,delivery,111.88
134490,newOrder,59.10
134735,orderStatus,28.83
134739,payment,34
134743,orderStatus,35.13
134775,stockLevel,70.40
134847,delivery,75.44
136475,newOrder,49.85
136848,orderStatus,38.25
136861,payment,48
136880,stockLevel,83.57
136898,stockLevel,90.06
136918,delivery,30.47
138468,newOrder,57.05
138966,orderStatus,33.27
138966,payment,34
139012,stockLevel,81.69
139088,delivery,72.72
140496,newOrder,69.08
141055,orderStatus,20.31
141059,payment,23
141082,stockLevel,46.94
141107,delivery,21.94
142461,newOrder,37.89
143132,orderStatus,17.16
143136,payment,21
143159,stockLevel,47.27
143199,delivery,44.76
144454,newOrder,32.34
145214,orderStatus,21.79
145216,payment,24
145245,stockLevel,53.80
145261,delivery,20.80
146448,newOrder,37.10
147282,orderStatus,19.06
147288,payment,24
147303,stockLevel,45.33
147344,delivery,40.25
148444,newOrder,34.83
149365,payment,21
149369,orderStatus,24.68
149390,stockLevel,47.00
149407,delivery,16.48
150438,newOrder,28.54
151447,payment,17
151455,orderStatus,25.01
151477,stockLevel,47.32
151516,delivery,39.89
152452,newOrder,27.19
153525,orderStatus,18.80
153527,payment,21
153551,stockLevel,48.35
153565,delivery,17.33
154450,newOrder,37.48
155604,orderStatus,21.02
155606,payment,23
155631,stockLevel,49.08
155663,delivery,38.03
156442,newOrder,32.01
157680,payment,17
157682,orderStatus,18.37
157707,stockLevel,43.79
157721,delivery,18.35
158442,newOrder,31.89
159773,orderStatus,18.85
159785,payment,29
159803,stockLevel,57.20
159849,delivery,43.91
160443,newOrder,31.51
161859,payment,20
161862,orderStatus,22.44
161882,stockLevel,44.26
161899,delivery,18.12
162438,newOrder,25.35
163939,payment,18
163945,orderStatus,23.25
163967,stockLevel,47.01
164004,delivery,38.87
164437,newOrder,28.65
166024,payment,15
166027,orderStatus,17.26
166056,stockLevel,47.27
166065,delivery,21.35
166438,newOrder,29.02
168108,payment,18
168120,orderStatus,28.97
168143,stockLevel,54.71
168178,delivery,51.96
168447,newOrder,37.08
170205,payment,25
170207,orderStatus,26.96
170228,stockLevel,48.69
170244,delivery,15.03
170437,newOrder,28.21
172292,payment,19
172295,orderStatus,22.00
172316,stockLevel,43.97
172348,delivery,36.59
172442,newOrder,33.54
174377,payment,23
174380,orderStatus,25.77
174404,stockLevel,51.14
174464,delivery,21.74
174488,newOrder,45.93
176439,newOrder,30.67
176487,orderStatus,20.81
176498,payment,32
176518,stockLevel,53.23
176553,delivery,38.82
178434,newOrder,26.01
178510,payment,19
178522,payment,25
178522,orderStatus,25.18
178555,delivery,25.56
178558,stockLevel,61.44
178576,delivery,25.07
180435,newOrder,26.16
180618,orderStatus,20.25
180625,orderStatus,26.67
180625,payment,27
180646,stockLevel,50.04
180684,delivery,38.91
182438,newOrder,28.88
182712,orderStatus,23.70
182719,payment,32
182726,stockLevel,56.00
182740,stockLevel,54.12
182756,delivery,18.59
184445,newOrder,34.83
184807,payment,29
184810,orderStatus,32.98
184835,stockLevel,59.50
184870,delivery,40.33
186432,newOrder,24.54
186899,payment,22
186905,orderStatus,28.16
186916,stockLevel,45.33
186937,delivery,15.57
188445,newOrder,27.15
188977,orderStatus,16.38
188981,payment,20
188997,stockLevel,41.03
189034,delivery,35.82
190433,newOrder,26.30
191057,payment,21
191062,orderStatus,24.90
191075,stockLevel,39.52
191095,delivery,14.34
192432,newOrder,24.92
193152,payment,21
193155,orderStatus,22.60
193173,stockLevel,44.86
193209,delivery,36.45
194434,newOrder,26.98
195235,payment,22
195239,orderStatus,26.84
195255,stockLevel,43.87
195272,delivery,17.38
196432,newOrder,26.11
197305,payment,19
197310,orderStatus,23.14
197325,stockLevel,39.15
197362,delivery,32.54
198432,newOrder,25.69
199389,payment,22
199394,orderStatus,27.00
199409,stockLevel,44.66
199425,delivery,13.89
200434,newOrder,25.98
201474,payment,18
201480,orderStatus,25.16
201494,stockLevel,43.46
201530,delivery,32.48
202441,newOrder,22.80
203559,payment,19
203570,orderStatus,28.41
203583,stockLevel,44.49
203598,delivery,17.61
204445,newOrder,22.72
205656,payment,21
205665,orderStatus,29.44
205680,stockLevel,44.85
205707,delivery,35.11
206438,newOrder,25.54
207759,payment,24
207760,orderStatus,26.03
207775,stockLevel,41.22
207793,delivery,14.73
208434,newOrder,26.95
209840,payment,18
209848,orderStatus,26.59
209869,stockLevel,47.66
209897,delivery,39.61
210446,newOrder,37.23
211970,payment,34
211971,orderStatus,34.53
212000,stockLevel,67.44
212040,delivery,31.00
212490,newOrder,62.29
214068,payment,23
214070,orderStatus,23.65
214084,stockLevel,43.81
214118,delivery,29.50
214444,newOrder,34.04
216150,orderStatus,22.38
216151,payment,23
216166,stockLevel,41.31
216186,delivery,14.55
216431,newOrder,23.76
218219,payment,20
218227,orderStatus,27.32
218244,stockLevel,45.89
218270,delivery,35.29
218431,newOrder,23.85
220328,payment,20
220335,orderStatus,27.04
220348,stockLevel,42.29
220362,delivery,18.39
220441,newOrder,31.47
222423,payment,28
222427,orderStatus,31.68
222453,stockLevel,58.13
222480,newOrder,50.43
222491,delivery,49.63
224431,newOrder,23.74
224509,payment,20
224521,orderStatus,32.25
224536,stockLevel,49.13
224566,delivery,40.49
226428,newOrder,21.26
226489,payment,13
226516,payment,30
226520,orderStatus,34.20
226551,stockLevel,66.86
226560,delivery,51.60
226584,delivery,43.28
228426,newOrder,19.41
228613,orderStatus,27.19
228623,payment,37
228624,orderStatus,38.69
228643,stockLevel,58.70
228657,delivery,14.52
230445,newOrder,24.46
230697,orderStatus,20.67
230711,payment,32
230725,stockLevel,53.41
230736,stockLevel,56.16
230761,delivery,33.58
232429,newOrder,22.75
232779,payment,18
232788,orderStatus,27.12
232795,stockLevel,38.48
232811,delivery,15.46
234438,newOrder,30.91
234871,payment,24
234875,orderStatus,28.12
234895,stockLevel,48.91
234933,delivery,33.12
236432,newOrder,22.23
236959,payment,25
236964,orderStatus,30.87
236977,stockLevel,46.48
236988,delivery,13.65
238429,newOrder,23.06
239043,payment,16
239053,orderStatus,26.27
239070,stockLevel,44.14
239094,delivery,34.79
240430,newOrder,24.18
241131,payment,19
241136,orderStatus,24.77
241147,stockLevel,36.77
241171,delivery,13.00
242431,newOrder,26.02
243246,payment,21
243259,orderStatus,33.69
243268,stockLevel,46.40
243296,delivery,33.04
244437,newOrder,30.16
245344,payment,19
245357,orderStatus,31.68
245364,stockLevel,42.25
245379,delivery,14.48
246433,newOrder,24.83
247429,payment,20
247450,orderStatus,39.19
247459,stockLevel,50.01
247488,delivery,36.68
248441,newOrder,22.33
249529,orderStatus,24.75
249530,payment,25
249543,stockLevel,42.94
249583,delivery,12.35
250448,newOrder,29.81
251619,payment,23
251630,orderStatus,34.23
251661,stockLevel,66.14
251680,delivery,42.35
252430,newOrder,23.65
253720,payment,27
253725,orderStatus,32.55
253731,stockLevel,42.01
253770,delivery,12.94
254431,newOrder,25.58
255806,payment,23
255817,orderStatus,34.60
255826,stockLevel,43.88
255856,delivery,32.10
256445,newOrder,25.82
257894,payment,18
257906,orderStatus,30.12
257922,stockLevel,47.04
257927,delivery,15.86
258444,newOrder,24.75
259983,payment,19
259994,orderStatus,29.54
260005,stockLevel,41.46
260031,delivery,32.66
260433,newOrder,23.56
262077,payment,26
262080,orderStatus,29.25
262096,stockLevel,46.69
262116,delivery,15.08
262431,newOrder,25.21
264160,payment,19
264180,orderStatus,38.79
264192,stockLevel,54.74
264214,delivery,37.32
264433,newOrder,27.17
266265,payment,17
266279,orderStatus,30.03
266289,stockLevel,41.39
266297,delivery,14.98
268355,orderStatus,23.01
268363,stockLevel,31.18
270431,stockLevel,27.18
