timestamp_ms_relative,transaction,time_ms
186763,newOrder,208.39
188699,newOrder,157.14
188962,payment,94.20
188964,payment,96.49
190664,newOrder,130.03
191115,payment,68
191293,delivery,246.00
191324,delivery,276.93
191378,delivery,220.09
192613,newOrder,86.47
193426,orderStatus,49.35
193427,orderStatus,33.41
193431,orderStatus,42.49
193448,payment,59
193506,delivery,34.94
195653,orderStatus,85.64
195688,newOrder,189.26
195693,stockLevel,130.04
195694,stockLevel,165.10
195703,stockLevel,142.59
197537,newOrder,75.91
197792,payment,44
197807,payment,53
197810,stockLevel,75.18
197977,delivery,145.75
197991,delivery,132.84
199503,newOrder,67.62
199946,orderStatus,32.86
199947,orderStatus,33.05
199958,payment,39
200013,delivery,30.99
201471,newOrder,62.97
202043,orderStatus,29.55
202066,payment,52
202078,stockLevel,67.75
202082,stockLevel,77.78
202180,delivery,79.37
203436,newOrder,45.97
204139,orderStatus,25.85
204141,payment,29
204173,stockLevel,60.91
204198,delivery,28.12
205412,newOrder,47.48
206237,orderStatus,26.89
206251,payment,42
206284,stockLevel,75.54
206336,delivery,64.27
207388,newOrder,44.71
208329,orderStatus,24.39
208336,payment,33
208381,stockLevel,80.25
208392,delivery,34.62
209352,newOrder,30.84
210438,payment,42
210447,orderStatus,50.67
210471,stockLevel,77.96
210546,delivery,84.60
211351,newOrder,38.77
212538,orderStatus,18.36
212544,payment,25
212572,stockLevel,55.96
212606,delivery,19.46
213309,newOrder,34.76
214644,orderStatus,16.47
214658,payment,30
214683,stockLevel,57.37
214726,delivery,51.82
215289,newOrder,34.97
216723,orderStatus,17.17
216739,payment,33
216758,stockLevel,52.91
216777,delivery,19.27
217288,newOrder,34.67
218799,orderStatus,20.03
218803,payment,23
218825,stockLevel,46.94
218877,delivery,48.61
219284,newOrder,30.32
220874,orderStatus,21.66
220881,payment,28
220909,stockLevel,59.56
220924,delivery,24.75
221284,newOrder,31.92
222961,orderStatus,24.85
222961,payment,25
222987,stockLevel,51.34
223030,delivery,43.35
223282,newOrder,30.05
225030,orderStatus,18.31
225035,payment,22
225057,stockLevel,51.14
225072,delivery,19.26
225282,newOrder,27.51
227103,orderStatus,17.19
227111,payment,22
227129,stockLevel,44.31
227165,delivery,35.01
227284,newOrder,31.76
229192,payment,19
229194,orderStatus,20.43
229221,stockLevel,49.05
229233,delivery,17.48
229300,newOrder,33.60
231300,payment,31
231300,orderStatus,31.54
231329,stockLevel,62.33
231334,newOrder,58.59
231372,delivery,43.49
233281,newOrder,28.91
233388,orderStatus,27.68
233395,payment,33
233396,payment,35
233410,stockLevel,56.86
233478,delivery,57.94
233485,delivery,56.42
235297,newOrder,26.19
235504,orderStatus,23.87
235505,orderStatus,25.08
235513,payment,33
235536,stockLevel,85.36
235594,delivery,52.28
237287,newOrder,33.31
237613,payment,36
237624,orderStatus,44.65
237652,stockLevel,76.90
237659,stockLevel,80.30
237663,delivery,28.96
239281,newOrder,30.11
239712,payment,20
239712,orderStatus,20.01
239738,stockLevel,46.78
239772,delivery,39.24
241319,newOrder,37.05
241798,payment,24
241801,orderStatus,27.01
241829,stockLevel,54.99
241844,delivery,22.32
243280,newOrder,29.10
243885,payment,22
243886,orderStatus,23.08
243904,stockLevel,43.93
243948,delivery,40.09
245281,newOrder,29.64
245974,payment,22
245974,orderStatus,21.52
245999,stockLevel,48.08
246021,delivery,22.13
247281,newOrder,29.26
248053,payment,23
248058,orderStatus,27.30
248083,stockLevel,54.27
248126,delivery,48.54
249291,newOrder,27.21
250143,payment,21
250146,orderStatus,23.57
250165,stockLevel,45.42
250181,delivery,14.10
251281,newOrder,29.18
252222,orderStatus,24.50
252226,payment,24
252243,stockLevel,46.69
252293,delivery,44.10
253282,newOrder,30.37
254300,payment,17
254304,orderStatus,21.95
254325,stockLevel,43.59
254342,delivery,20.35
255281,newOrder,30.71
256374,orderStatus,16.75
256384,payment,26
256415,stockLevel,58.78
256445,delivery,44.25
257293,newOrder,37.18
258473,payment,32
258479,orderStatus,38.22
258494,stockLevel,54.30
258511,delivery,16.06
259278,newOrder,27.92
260556,payment,21
260561,orderStatus,27.11
260574,stockLevel,45.07
260614,delivery,36.68
261282,newOrder,30.17
262635,payment,25
262639,orderStatus,28.39
262659,stockLevel,50.33
262676,delivery,16.68
263283,newOrder,32.10
264734,orderStatus,25.90
264734,payment,26
264759,stockLevel,53.60
264798,delivery,42.06
265282,newOrder,31.86
266808,payment,18
266822,orderStatus,30.47
266840,stockLevel,50.73
266849,delivery,19.60
267281,newOrder,30.49
268904,payment,22
268910,orderStatus,28.30
268930,stockLevel,49.52
268965,delivery,42.74
269285,newOrder,29.55
271005,orderStatus,23.31
271005,payment,23
271024,stockLevel,44.52
271045,delivery,17.25
271281,newOrder,31.26
273084,payment,21
273091,orderStatus,27.22
273107,stockLevel,44.78
273144,delivery,39.44
273286,newOrder,29.46
275180,payment,18
275189,orderStatus,26.64
275207,stockLevel,46.28
275218,delivery,20.67
275278,newOrder,27.35
277288,orderStatus,27.61
277293,payment,33
277324,stockLevel,67.94
277332,newOrder,51.15
277365,delivery,45.04
279277,newOrder,26.51
279386,payment,33
279390,payment,37
279391,orderStatus,38.29
279405,stockLevel,59.62
279464,delivery,59.76
279489,delivery,51.63
281274,newOrder,24.22
281525,orderStatus,33.01
281528,payment,35
281532,orderStatus,40.96
281534,stockLevel,51.81
281594,delivery,36.32
283279,newOrder,25.87
283611,orderStatus,28.27
283616,payment,32
283628,stockLevel,50.98
283639,stockLevel,53.12
283659,delivery,13.77
285342,newOrder,91.50
285700,payment,21
285708,orderStatus,29.02
285722,stockLevel,44.98
285756,delivery,37.15
287283,newOrder,33.14
287808,payment,19
287815,orderStatus,25.66
287828,stockLevel,40.11
287840,delivery,15.90
289279,newOrder,29.52
289905,payment,22
289915,orderStatus,31.80
289927,stockLevel,45.18
289962,delivery,37.30
291278,newOrder,28.28
291996,payment,16
292005,orderStatus,25.61
292023,stockLevel,44.21
292030,delivery,17.22
293277,newOrder,26.34
294082,payment,21
294090,orderStatus,28.72
294103,stockLevel,42.99
294132,delivery,33.36
295275,newOrder,23.94
296188,payment,24
296190,orderStatus,25.61
296205,stockLevel,43.91
296225,delivery,17.02
297279,newOrder,27.77
298272,payment,24
298277,orderStatus,27.81
298293,stockLevel,45.30
298326,delivery,32.46
299277,newOrder,24.06
300354,payment,18
300365,orderStatus,29.69
300376,stockLevel,47.54
300389,delivery,18.27
301289,newOrder,28.04
302443,payment,18
302451,orderStatus,25.82
